Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 120.0.0.0,,,09-01-2024 10:55:57,09-01-2024 10:56:00,2.410s,PASSED
,,,,,,,
Test Cases/Test 1 by Tom,Chrome 120.0.0.0,,,09-01-2024 10:55:58,09-01-2024 10:56:00,2.266s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,09-01-2024 10:55:58,09-01-2024 10:55:59,0.847s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,09-01-2024 10:55:59,09-01-2024 10:56:00,1.175s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,09-01-2024 10:56:00,09-01-2024 10:56:00,0.079s,PASSED
