Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 120.0.0.0,,,09-01-2024 11:55:00,09-01-2024 11:55:03,2.527s,PASSED
,,,,,,,
Test Cases/Test 1 by Tom,Chrome 120.0.0.0,,,09-01-2024 11:55:00,09-01-2024 11:55:03,2.403s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,09-01-2024 11:55:01,09-01-2024 11:55:02,0.938s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,09-01-2024 11:55:02,09-01-2024 11:55:03,1.179s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,09-01-2024 11:55:03,09-01-2024 11:55:03,0.148s,PASSED
